,raw_in,v_in,raw_out,v_out
0,0.0,0.0018750572222052675,4.0,0.0032234432234432234
100,100.0,0.08200250251777703,148.0,0.11926739926739927
200,200.0,0.16025489059114353,291.0,0.2345054945054945
300,300.0,0.23925730155339214,435.0,0.3505494505494505
400,400.0,0.31975975829340497,585.0,0.47142857142857136
500,500.0,0.4007622302926725,735.0,0.5923076923076923
600,600.0,0.4800146488845485,872.0,0.7027106227106227
700,700.0,0.5588920560319834,1019.0,0.8211721611721612
800,800.0,0.6385194860683004,1168.0,0.9412454212454211
900,900.0,0.7180219122898037,1315.0,1.0597069597069597
1000,1000.0,0.7973993346964935,1458.0,1.1749450549450549
1100,1100.0,0.8772767723624378,1610.0,1.2974358974358973
1200,1200.0,0.9566541947691275,1761.0,1.4191208791208791
1300,1300.0,1.0359066133610035,1905.0,1.535164835164835
1400,1400.0,1.1150340281380657,2055.0,1.656043956043956
1500,1500.0,1.1944114505447554,2207.0,1.7785347985347983
1600,1600.0,1.2747889034699547,2361.0,1.9026373626373623
1700,1700.0,1.3544163335062716,2507.0,2.02029304029304
1800,1800.0,1.4347937864314706,2655.0,2.1395604395604395
1900,1900.0,1.513921201208533,2794.0,2.2515750915750914
2000,2000.0,1.5935486312448501,2934.0,2.3643956043956043
2100,2100.0,1.673676076540422,3077.0,2.4796336996336996
2200,2200.0,1.7533035065767388,3223.0,2.597289377289377
2300,2300.0,1.8328059327982422,3384.0,2.727032967032967
2400,2400.0,1.9119333475753044,3531.0,2.8454945054945053
2500,2500.0,1.9911857661671803,3669.0,2.9567032967032967
2600,2600.0,2.0728132572405165,3757.0,3.0276190476190474
2700,2700.0,2.1523156834620196,3900.0,3.1428571428571423
2800,2800.0,2.2328181402020326,4045.0,3.2597069597069597
2900,2900.0,2.3125705740531632,4095.0,3.3
3000,3000.0,2.392823023163549,4095.0,3.3
3100,3100.0,2.475075533310953,4095.0,3.3
3200,3200.0,2.554077944273202,4095.0,3.3
3300,3300.0,2.6330803552354505,4095.0,3.3
3400,3400.0,2.712082766197699,4095.0,3.3
3500,3500.0,2.790460158085879,4095.0,3.3
3600,3600.0,2.870087588122196,4095.0,3.3
3700,3700.0,2.948339976195563,3476.0,2.801172161172161
3800,3800.0,3.0267173680837427,3515.0,2.8326007326007323
3900,3900.0,3.1039697256385996,3526.0,2.8414652014652013
4000,4000.0,3.1823471175267803,3484.0,2.8076190476190472
